decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
-34.0687,151.13,Orectolobus maculatus,2012-12-19T12:00Z,2012-12-19T00:00:00,8.5
25.0096,-80.3745,Ocyurus chrysurus,2012-12-30T14:16Z,2012-12-30T00:00:00,3.96
42.1134,8.61864,Dentex dentex,2009-07-14T10:00Z,2009-07-14T00:00:00,9.0
16.8879,94.2726,Pterois volitans,2012-12-27T10:30Z,2012-12-27T00:00:00,5.44
33.904,35.4827,Fistularia commersonii,2012-12-30T10:45Z,2012-12-30T00:00:00,30.0
-34.0687,151.13,Sepiella ornata,2012-12-19T12:00Z,2012-12-19T00:00:00,8.5
16.8879,94.2726,Echeneis naucrates,2012-12-27T10:30Z,2012-12-27T00:00:00,5.44
20.6914,-86.9109,Thalassoma bifasciatum,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
13.0875,-59.6407,Chelonia mydas,2012-12-28T10:54Z,2012-12-28T00:00:00,7.62
24.9833,-77.547,Rhizoprionodon porosus,2012-12-26T10:37Z,2012-12-26T00:00:00,13.51
-27.5276,32.6859,Gymnothorax favagineus,2012-04-07T11:22Z,2012-04-07T00:00:00,9.8
16.8879,94.2726,Arothron stellatus,2012-12-27T10:30Z,2012-12-27T00:00:00,5.44
20.6914,-86.9109,Halichoeres pictus,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
20.7338,-156.923,Zebrasoma scopas,2010-06-19T09:00Z,2010-06-19T00:00:00,9.145
24.9833,-77.547,Chelonia mydas,2012-12-26T10:37Z,2012-12-26T00:00:00,13.51
-27.5276,32.6859,Taeniura lymma,2012-04-07T11:22Z,2012-04-07T00:00:00,9.8
20.6946,-156.451,Siganus luridus,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6914,-86.9109,Halichoeres maculipinna,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8764,-159.454,Forcipiger flavissimus,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
13.0875,-59.6407,Chelonia mydas,2012-12-28T10:54Z,2012-12-28T00:00:00,7.6
-27.5276,32.6859,Lutjanus kasmira,2012-12-26T10:40Z,2012-12-26T00:00:00,9.05
20.6946,-156.451,Chaetodon ornatissimus,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6914,-86.9109,Chaetodon sedentarius,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8764,-159.454,Dascyllus albisella,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
13.0875,-59.6407,Sphoeroides spengleri,2012-12-28T10:54Z,2012-12-28T00:00:00,7.6
-27.5276,32.6859,Gymnothorax nudivomer,2012-12-26T10:40Z,2012-12-26T00:00:00,9.05
20.6946,-156.451,Acanthurus dussumieri,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6914,-86.9109,Sargocentron tiereoides,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8764,-159.454,Canthigaster jactator,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
21.0917,-86.6832,Palauastrea ramosa,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5276,32.6859,Gymnothorax eurostus,2012-12-26T10:40Z,2012-12-26T00:00:00,9.05
20.6946,-156.451,Muraena retifera,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6914,-86.9109,Xanthichthys ringens,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8764,-159.454,Zanclus cornutus,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
21.0917,-86.6832,Platygyra lamellina,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5481,32.704,Scorpaenopsis diabolus,2012-12-24T12:41Z,2012-12-24T00:00:00,7.8
20.6946,-156.451,,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6914,-86.9109,Pterois volitans,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8764,-159.454,Chelonia mydas,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
21.0917,-86.6832,Oulastrea crispata,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5481,32.704,Cephalopholis sonnerati,2012-12-24T12:41Z,2012-12-24T00:00:00,7.8
20.6946,-156.451,,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
21.8764,-159.454,Carcharhinus longimanus,2012-04-30T00:34Z,2012-04-30T00:00:00,12.8
20.6914,-86.9109,Chaetodon ocellatus,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.0917,-86.6832,Lutjanus coeruleolineatus,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5481,32.704,Ostracion cubicus,2012-12-24T12:41Z,2012-12-24T00:00:00,7.8
20.6289,-156.496,,2009-02-24T08:00Z,2009-02-24T00:00:00,9.145
20.6914,-86.9109,Malacanthus plumieri,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.8272,-159.479,Chelonia mydas,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
