scientificName,taxonKey
"Opistognathus aurifrons (Jordan & Thompson, 1905)",2391774
"Epinephelus analogus Gill, 1863",2388598
"Haemulon sciurus (Shaw, 1803)",2382543
"Diodon hystrix Linnaeus, 1758",5213374
"Gymnura marmorata (Cooper, 1864)",5216224
"Seriola fasciata (Bloch, 1793)",5961709
"Parapercis cylindrica (Bloch, 1792)",5209970
"Cyclichthys spilostylus (Leis & Randall, 1982)",2406520
"Xestospongia testudinaria (Lamarck, 1815)",2246291
"Sphyraena lucasana Gill, 1863",2394237
"Chaetodon striatus Linnaeus, 1758",7906686
"Cymbacephalus beauforti (Knapp, 1973)",2335642
"Cephalopholis cruentata (Lacepède, 1802)",2388866
"Carcharhinus acronotus (Poey, 1860)",2418144
"Gymnothorax thyrsoideus (Richardson, 1845)",2403908
"Chaetodon austriacus Rüppell, 1836",2385336
"Tarpon Jordan & Evermann, 1896",2346648
"Parapercis hexophtalma (Cuvier, 1829)",5210026
"Sphoeroides parvus Shipp & Yerger, 1969",2407855
"Gorgonia ventalina Linnaeus, 1758",5185376
"Cancer productus Randall, 1840",2222079
"Synodus variegatus (Lacepède, 1803)",5212639
"Mulloidichthys vanicolensis (Valenciennes, 1831)",2396852
"Albula vulpes (Linnaeus, 1758)",5204104
"Balistoides viridescens (Bloch & Schneider, 1801)",2407133
"Scorpaena scrofa Linnaeus, 1758",2334574
"Thunnus thynnus (Linnaeus, 1758)",2373980
"Pseudanthias fasciatus (Kamohara, 1955)",2387600
"Sebastes chrysomelas (Jordan & Gilbert, 1881)",2335502
"Haploblepharus edwardsii (Schinz, 1822)",2418609
"Chlorurus microrhinos (Bleeker, 1854)",5211130
"Haliphron atlanticus Steenstrup, 1861",2289216
"Pseudorhombus argus Weber, 1913",2408818
"Epinephelus polyphekadion (Bleeker, 1849)",2388423
"Diodon holocanthus Linnaeus, 1758",5213361
"Periclimenes pedersoni Chace, 1958",2225154
"Lactophrys triqueter (Linnaeus, 1758)",2408093
"Owenia fusiformis Delle Chiaje, 1844",5199345
"Leptasterias hexactis (Stimpson, 1862)",2273926
Phocidae,5310
"Gadus morhua Linnaeus, 1758",8084280
"Bothus podas (Delaroche, 1809)",5213852
"Colpophyllia natans (Houttuyn, 1772)",2260043
"Stenorhynchus lanceolatus (Brullé, 1837)",5729748
"Arbacia punctulata (Lamarck, 1816)",2278769
"Hemigrapsus oregonensis (Dana, 1851)",2225774
"Chrysaora hysoscella (Linnaeus, 1767)",5185425
"Haemulon flavolineatum (Desmarest, 1823)",2382521
"Diploria strigosa (Dana, 1846)",2260166
"Nicholsina usta (Valenciennes, 1840)",4285799
"Lagocephalus laevigatus (Linnaeus, 1766)",2407750
"Acanthocybium solandri (Cuvier, 1832)",2374069
"Nembrotha Bergh, 1877",2291834
"Pontinus sierra (Gilbert, 1890)",2334715
"Hydrolagus colliei (Lay & Bennett, 1839)",5215461
"Limatula regularis A.E.Verrill & K.J.Bush, 1898",2288726
"Pseudolabrus japonicus (Houttuyn, 1782)",2383769
"Flabellina iodinea (J.G.Cooper, 1863)",5190137
"Platygyra sinensis (Milne Edwards & Haime, 1849)",5184731
"Sparisoma viride (Bonnaterre, 1788)",2393894
"Gymnothorax javanicus (Bleeker, 1859)",2403808
"Himantura jenkinsi (Annandale, 1909)",5215914
"Scorpaenichthys marmoratus (Ayres, 1854)",5201222
"Cypraecassis testiculus (Linnaeus, 1758)",2299623
Melongenidae,6774
"Apogon lativittatus Randall, 2001",5211666
"Chlorurus perspicillatus (Steindachner, 1879)",5211123
"Paralabrax nebulifer (Girard, 1854)",2387738
"Sebastapistes strongia (Cuvier, 1829)",5201245
"Paracentrotus lividus (Lamarck, 1816)",2278845
"Illex illecebrosus (Lesueur, 1821)",9558545
