scientificName,taxonKey,Common Name
"Adalaria loveni (Alder & Hancock, 1862)",2292094,No common name found
"Mimachlamys varia (Linnaeus, 1758)",4373480,Variegated Scallop
"Rhincodon typus Smith, 1828",2417522,Basking shark
"Octopus briareus G.C.Robson, 1929",2289580,Caribbean reef octopus
"Myliobatis californica Gill, 1865",2419300,Bat eagle ray
"Stereolepis gigas Ayres, 1859",5211259,Giant sea bass
"Paralichthys californicus (Ayres, 1859)",2408903,California Halibut
"Raja inornata Jordan & Gilbert, 1881",5216063,California ray
"Gymnothorax funebris Ranzani, 1839",2403964,Green moray
"Setarches guentheri Johnson, 1862",2336894,Deepwater scorpionfish
"Canthidermis maculata (Bloch, 1786)",2407067,No common name found
"Gymnothorax moringa (Cuvier, 1829)",2404065,Common spotted moray
"Stephanolepis hispidus (Linnaeus, 1766)",5213455,Common filefish
"Melichthys niger (Bloch, 1786)",2407141,Black durgon
"Canthidermis sufflamen (Mitchill, 1815)",2407087,Ocean triggerfish
"Holacanthus ciliaris (Linnaeus, 1758)",5211452,Angelfish
"Enchelycore nigricans (Bonnaterre, 1788)",2404189,Mottled conger moray
"Chaetodon capistratus Linnaeus, 1758",2385548,Foureye butterflyfish
"Dasyatis americana Hildebrand & Schroeder, 1928",2419523,southern stingray
"Halichoeres maculipinna (Müller & Troschel, 1848)",2384125,Clown wrasse
"Dasyatis sabina (Lesueur, 1824)",2419514,Atlantic stingray
"Thalassoma bifasciatum (Bloch, 1791)",2384533,Bluehead
"Scarus vetula Bloch & Schneider, 1801",2393681,Blownose
"Pomacanthus paru (Bloch, 1787)",2396447,French angelfish
"Sphoeroides yergeri Shipp, 1972",2407856,Speckled puffer
"Myrichthys ocellatus (Lesueur, 1825)",2404482,Goldspotted snake eel
"Callinectes bocourti A.Milne-Edwards, 1879",2225648,Bocourt swimming crab
"Octopus hubbsorum S.S.Berry, 1953",2289709,No common name found
"Acanthocarpus alexandri Stimpson, 1871",5178360,gladiator box crab
"Opsanus pardus (Goode & Bean, 1880)",2350906,Leopard Toadfish
"Lagocephalus lagocephalus (Linnaeus, 1758)",4284320,Blauer Kugelfisch
"Petrochirus diogenes (Linnaeus, 1758)",2224492,giant hermit
"Chromis atrilobata Gill, 1862",5212245,Scissortail damselfish
"Lophius piscatorius Linnaeus, 1758",2415075,Angler
"Remora remora (Linnaeus, 1758)",2375267,Common remora
"Acanthostracion polygonius Poey, 1876",2408186,Honeycomb cowfish
"Lactophrys bicaudalis (Linnaeus, 1758)",2408100,Spotted trunkfish
"Epinephelus itajara (Lichtenstein, 1822)",2388456,Atlantic goliath grouper
"Diaphorodoris luteocincta (M.Sars, 1870)",2292112,fried egg nudibranch
"Chaetodipterus faber (Broussonet, 1782)",2394320,Atlantic spadefish
"Rhynchobatus djiddensis (Forsskål, 1775)",2418935,Giant guitarfish
"Sphyrna zygaena (Linnaeus, 1758)",2418794,No common name found
"Alestes baremoze (Joannis, 1835)",2356096,Characin
"Acanthurus leucosternon Bennett, 1833",5209210,Blue surgeonfish
"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",2417981,Black finned shark
"Abudefduf conformis Randall & Earle, 1999",2398622,Marquesas Sergeant
"Scarus psittacus Forsskål, 1775",2393800,Common parrotfish
"Rhina ancylostoma Bloch & Schneider, 1801",5963013,Bowmouth guitarfish
"Lutjanus monostigma (Cuvier, 1828)",2385027,Black spot red snapper
"Pastinachus sephen (Forsskål, 1775)",2419714,Cowtail stingray
"Rhinoptera bonasus (Mitchill, 1815)",5215777,Cownose ray
"Chaetodon falcula Bloch, 1795",2385419,Blackwedged butterflyfish
"Acanthurus sohal (Forsskål, 1775)",5209184,Sohal surgeonfish
"Cynoponticus ferox Costa, 1846",2403230,Guinea pike conger
"Myliobatis aquila (Linnaeus, 1758)",2419310,Adlerrochen
"Serranus sanctaehelenae Boulenger, 1895",2388716,Deepwater Brown Mullet
"Chorilia longipes Dana, 1851",2226723,longhorn decorator crab
